Field1,Field3,Time
1. Breaking Bad,62 eps,9.5
2. Planet Earth II,6 eps,9.5
3. Planet Earth,11 eps,9.4
4. Band of Brothers,10 eps,9.4
5. Chernobyl,5 eps,9.3
6. The Wire,60 eps,9.3
7. Avatar: The Last Airbender,62 eps,9.3
8. Blue Planet II,7 eps,9.3
9. The Sopranos,86 eps,9.2
10. Cosmos: A Spacetime Odyssey,13 eps,9.2
11. Cosmos,13 eps,9.3
12. Our Planet,12 eps,9.3
13. Game of Thrones,74 eps,9.2
14. Bluey,194 eps,9.3
15. The World at War,26 eps,9.2
16. Fullmetal Alchemist: Brotherhood,68 eps,9.1
17. Rick and Morty,76 eps,9.1
18. Life,11 eps,9.1
19. The Last Dance,10 eps,9.1
20. The Twilight Zone,156 eps,9.0
21. The Vietnam War,10 eps,9.1
22. Sherlock,15 eps,9.1
23. Attack on Titan,98 eps,9.1
24. Batman: The Animated Series,85 eps,9.0
25. The Office,188 eps,9.0
26. Better Call Saul,63 eps,9.0
27. The Blue Planet,8 eps,9.0
28. Arcane,10 eps,9.0
29. Scam 1992: The Harshad Mehta Story,10 eps,9.2
30. Clarkson's Farm,25 eps,9.0
31. Human Planet,8 eps,9.0
32. Frozen Planet,10 eps,9.0
33. Firefly,14 eps,8.9
34. Hunter x Hunter,148 eps,9.0
35. Only Fools and Horses,64 eps,9.0
36. Death Note,37 eps,8.9
37. The Civil War,9 eps,9.0
38. Seinfeld,172 eps,8.9
39. Gravity Falls,41 eps,8.9
40. Dekalog,10 eps,8.9
41. The Beatles: Get Back,3 eps,8.9
42. Cowboy Bebop,26 eps,8.9
43. True Detective,31 eps,8.9
44. Fargo,51 eps,8.9
45. Persona,22 eps,9.0
46. Nathan for You,32 eps,8.9
47. As If,55 eps,9.0
48. Taskmaster,171 eps,9.0
49. Apocalypse: The Second World War,6 eps,9.0
50. When They See Us,4 eps,8.8
51. Africa,7 eps,8.9
52. Last Week Tonight with John Oliver,365 eps,8.8
53. Friends,235 eps,8.9
54. Succession,39 eps,8.8
55. It's Always Sunny in Philadelphia,172 eps,8.8
56. TVF Pitchers,10 eps,9.1
57. The West Wing,155 eps,8.9
58. Monty Python's Flying Circus,45 eps,8.8
59. Curb Your Enthusiasm,120 eps,8.8
60. One Piece,1135 eps,9.0
61. Das Boot,3 eps,8.8
62. Frieren: Beyond Journey's End,28 eps,8.9
63. BoJack Horseman,77 eps,8.8
64. Fawlty Towers,12 eps,8.8
65. Leyla and Mecnun,144 eps,9.1
66. Blackadder Goes Forth,6 eps,8.8
67. Pride and Prejudice,6 eps,8.8
68. Freaks and Geeks,18 eps,8.8
69. Dragon Ball Z,277 eps,8.8
70. Twin Peaks,30 eps,8.8
71. Panchayat,24 eps,9.0
72. Dragon Ball Z,291 eps,8.8
73. Chappelle's Show,33 eps,8.8
74. Narcos,30 eps,8.7
75. X-Men '97,12 eps,8.8
76. Gullak,20 eps,9.1
"77. I, Claudius",13 eps,8.8
78. Vinland Saga,48 eps,8.8
79. Black Mirror,33 eps,8.7
80. Kota Factory,15 eps,9.0
81. South Park,327 eps,8.7
82. Bleach: Thousand-Year Blood War,28 eps,9.0
83. Over the Garden Wall,10 eps,8.8
84. Ted Lasso,34 eps,8.8
